2026-04-20 09:22:06,797 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to localhost:9092 [('127.0.0.1', 9092) IPv4]
2026-04-20 09:22:06,797 - INFO - Probing node bootstrap-0 broker version
2026-04-20 09:22:06,798 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
2026-04-20 09:22:06,901 - INFO - Broker version identified as 2.5.0
2026-04-20 09:22:06,902 - INFO - Set configuration api_version=(2, 5, 0) to skip auto check_version requests on startup
2026-04-20 09:22:06,903 - INFO - ✅ Đã kết nối Kafka (Chế độ Plaintext)
2026-04-20 09:22:07,319 - INFO - Websocket connected
2026-04-20 09:22:17,707 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:22:17,707 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:22:27,759 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:22:27,760 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:22:37,817 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:22:37,817 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:22:47,878 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:22:47,879 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:22:57,940 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:22:57,941 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:23:07,634 - ERROR - Lỗi xử lý dữ liệu: KafkaTimeoutError: Failed to update metadata after 60.0 secs.
2026-04-20 09:23:07,993 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:23:07,993 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:23:18,005 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:23:18,006 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:23:28,064 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:23:28,064 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:23:38,120 - WARNING - DNS lookup failed for kafka:9092, exception was [Errno -3] Temporary failure in name resolution. Is your advertised.listeners (called advertised.host.name before Kafka 9) correct and resolvable?
2026-04-20 09:23:38,120 - ERROR - DNS lookup failed for kafka:9092 (AddressFamily.AF_UNSPEC)
2026-04-20 09:23:38,172 - INFO - <BrokerConnection node_id=1 host=kafka:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: connecting to kafka:9092 [('127.0.0.1', 9092) IPv4]
2026-04-20 09:23:38,172 - INFO - <BrokerConnection node_id=1 host=kafka:9092 <connecting> [IPv4 ('127.0.0.1', 9092)]>: Connection complete.
2026-04-20 09:23:38,172 - INFO - <BrokerConnection node_id=bootstrap-0 host=localhost:9092 <connected> [IPv4 ('127.0.0.1', 9092)]>: Closing connection. 
2026-04-20 09:23:38,185 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,186 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,187 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,187 - INFO - [SPEED] ETHUSDT  | Giá: 2277.34
2026-04-20 09:23:38,189 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,190 - INFO - [SPEED] ETHUSDT  | Giá: 2277.34
2026-04-20 09:23:38,191 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,192 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,193 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,193 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,193 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,195 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,195 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,196 - INFO - [SPEED] BNBUSDT  | Giá: 620.43
2026-04-20 09:23:38,196 - INFO - [SPEED] BNBUSDT  | Giá: 620.44
2026-04-20 09:23:38,197 - INFO - [SPEED] BNBUSDT  | Giá: 620.44
2026-04-20 09:23:38,199 - INFO - [SPEED] ETHUSDT  | Giá: 2277.34
2026-04-20 09:23:38,201 - INFO - [SPEED] ETHUSDT  | Giá: 2277.34
2026-04-20 09:23:38,202 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,204 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,205 - INFO - [SPEED] BTCUSDT  | Giá: 74390.93
2026-04-20 09:23:38,205 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,206 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,206 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,207 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,208 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,210 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,211 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,211 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,211 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,213 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,215 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,215 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,216 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,217 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,217 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,218 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,219 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,220 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,221 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,221 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,222 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,224 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,224 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,224 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,225 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,226 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
2026-04-20 09:23:38,226 - INFO - [SPEED] BTCUSDT  | Giá: 74390.92
